"miner_id","location","month_num_one_indexed","first_record_timestamp","start_height","end_height","num_power_claim_records","sealingE_upper_MWh","storageE_upper_MWh","totalE_upper_MWh","recs_to_source"
"f019104","montreal_qc_canada",9,"2020-09-09T12:03:30.000Z",20880,107279,134,0.21742842439270393,0.009001774882844836,0.43701028460180913,1
"f019104","montreal_qc_canada",10,"2020-10-01T06:51:30.000Z",107280,196559,55,0.16355235463167994,0.03211882964648461,0.3776453856568576,1
"f019104","montreal_qc_canada",11,"2020-11-02T13:50:00.000Z",196560,283079,35,0.41369124995072004,0.057939121622042546,0.9102466171354316,1
"f019104","montreal_qc_canada",12,"2020-12-01T13:50:00.000Z",283080,372359,29,0.15777991858585594,0.09748020210664735,0.49265203293653137,1
"f019104","montreal_qc_canada",1,"2021-01-02T13:50:00.000Z",372360,461639,29,0.7157820696821762,0.1342866028686528,1.6406325380230993,2
"f019104","montreal_qc_canada",2,"2021-02-03T14:50:30.000Z",461640,542279,6,0.009620726743039999,0.1622866978634151,0.3317813294904583,1
"f019104","montreal_qc_canada",3,"2021-03-02T13:50:00.000Z",542280,631439,15,0.12506944765952,0.18621255595742725,0.6007742669807082,1
"f019104","montreal_qc_canada",4,"2021-05-01T03:59:30.000Z",631440,717839,0,0.009620726743039999,0.1887635949043581,0.38288174077947834,1
"f019104","montreal_qc_canada",5,"2021-05-11T13:54:30.000Z",717840,807119,11,0.20780769764966397,0.20856119305407825,0.8035919590582224,1
"f019104","montreal_qc_canada",6,"2021-06-20T14:17:00.000Z",807120,893519,2,0.02886218022912,0.21136425913575013,0.4636370279741993,1
"f019104","montreal_qc_canada",7,"2021-07-23T13:53:30.000Z",893520,982799,17,0.7100096336363519,0.2311348631583169,1.816408878813711,2
"f019104","montreal_qc_canada",8,"2021-08-01T13:50:30.000Z",982800,1072079,23,0.3078632557772802,0.3250177029639556,1.221460250370585,2
"f022142","newYork_newYork_usa",9,"2020-09-25T02:41:30.000Z",20880,107279,24,0.04040705232076799,0.00046512511540789243,0.07888330245181946,1
"f022142","newYork_newYork_usa",10,"2020-10-01T07:53:30.000Z",107280,196559,60,0.15393162788863995,0.011851349533277556,0.31996114642430085,1
"f022142","newYork_newYork_usa",11,"2020-11-02T02:40:30.000Z",196560,283079,43,0.12122115696230396,0.02726217125197775,0.2865728234535637,1
"f022142","newYork_newYork_usa",12,"2020-12-02T02:13:30.000Z",283080,372359,67,0.16355235463167994,0.04291743373288538,0.39848669154361116,1
"f022142","newYork_newYork_usa",1,"2021-01-02T02:18:30.000Z",372360,461639,38,0.21550427904409591,0.0625637706076835,0.5366713358279345,1
"f022142","newYork_newYork_usa",2,"2021-02-02T02:32:30.000Z",461640,542279,29,0.18664209881497593,0.07655709102663795,0.5079744363943149,1
"f022142","newYork_newYork_usa",3,"2021-03-02T02:20:30.000Z",542280,631439,43,0.17317308137471996,0.10348325624963138,0.5339467316149981,1
"f022142","newYork_newYork_usa",4,"2021-04-02T02:34:30.000Z",631440,717839,48,0.11544872091647995,0.11702779553582679,0.44867967675295223,1
"f022142","newYork_newYork_usa",5,"2021-05-02T02:25:00.000Z",717840,807119,60,3.5231101333012487,0.30378387299031323,7.385905432142712,8
"f022142","newYork_newYork_usa",6,"2021-06-02T02:24:00.000Z",807120,893519,82,3.163294953111553,0.6571711465414618,7.373499572330316,8
"f022142","newYork_newYork_usa",7,"2021-07-02T03:29:30.000Z",893520,982799,71,3.573137912365057,1.0111695092420758,8.847713323701766,9
"f022142","newYork_newYork_usa",8,"2021-08-02T02:59:00.000Z",982800,1072079,56,3.0959498659102733,1.4166825977183524,8.709380654803246,9
"f02576","copenhagen_denmark",9,"2020-09-01T04:24:00.000Z",20880,107279,527,0.9081966045429852,0.08804464952849991,1.9227456203579494,2
"f02576","copenhagen_denmark",10,"2020-10-01T04:14:00.000Z",107280,196559,453,1.323811999842312,0.24287359066045416,3.0237031896703224,4
"f02576","copenhagen_denmark",11,"2020-11-02T03:59:30.000Z",196560,283079,42,1.0890662673121279,0.32924082851379427,2.7373326949440298,3
"f02576","copenhagen_denmark",12,"2020-12-02T04:01:00.000Z",283080,372359,56,1.0255694708080643,0.4595689034776314,2.866317062371392,3
"f02576","copenhagen_denmark",1,"2021-01-02T04:59:00.000Z",372360,461639,46,1.167956226605056,0.5862820568538653,3.385679887075718,4
"f02576","copenhagen_denmark",2,"2021-02-04T04:59:30.000Z",461640,542279,50,0.6734508720128004,0.6167082742487345,2.4900071522847624,3
"f02576","copenhagen_denmark",3,"2021-03-02T04:59:30.000Z",542280,631439,55,1.3699914882088962,0.8075104417934948,4.202578724904614,5
"f02576","copenhagen_denmark",4,"2021-04-01T04:29:30.000Z",631440,717839,51,0.9793899824414721,0.9044117417509886,3.635737327691449,4
"f02576","copenhagen_denmark",5,"2021-05-01T04:59:30.000Z",717840,807119,22,0.28477351159398395,0.9885790544915437,2.4575704525450686,3
"f02576","copenhagen_denmark",6,"2021-06-01T04:29:30.000Z",807120,893519,43,1.0390384882483201,1.008387824624295,3.951532783844146,4
"f02576","copenhagen_denmark",7,"2021-07-01T04:29:30.000Z",893520,982799,10,0.08081410464153599,1.1195173071268871,2.3166396247130563,3
"f02576","copenhagen_denmark",8,"2021-08-02T04:29:30.000Z",982800,1072079,35,0.48103633715199995,1.1398378988056765,3.1282872753983164,4
"f02770","china",9,"2020-09-01T04:00:00.000Z",20880,107279,38910,981.8336470340519,46.146391924390876,1984.0014751899882,1985
"f02770","china",10,"2020-10-01T04:00:00.000Z",107280,196559,20171,1649.00218448374,242.3137009488805,3650.2396588850384,3651
"f02770","china",11,"2020-11-01T04:24:00.000Z",196560,283079,460,1418.0662597438647,371.778611475575,3454.4006014535253,3455
"f02770","china",12,"2020-12-01T11:52:30.000Z",283080,372359,427,336.51185587270464,486.979214171645,1589.3377651855947,1590
"f02770","china",1,"2021-01-01T06:22:00.000Z",372360,461639,146,0,492.8155408451235,951.133993831088,952
"f02770","china",2,"2021-02-01T18:40:00.000Z",461640,542279,256,0,445.1237143117241,859.0887686216269,860
"f02770","china",3,"2021-03-02T00:53:00.000Z",542280,631439,102,0,492.153154365493,949.855587925401,950
"f02770","china",4,"2021-04-03T21:23:00.000Z",631440,717839,65,0,476.918265333991,920.4522520946012,921
"f02770","china",5,"2021-05-01T09:22:30.000Z",717840,807119,156,0,492.81554084512356,951.1339938310879,952
"f02770","china",6,"2021-06-03T04:54:00.000Z",807120,893519,215,0,476.9182653339898,920.4522520945991,921
"f02770","china",7,"2021-07-01T04:52:00.000Z",893520,982799,157,0,492.8155408451238,951.1339938310875,952
"f02770","china",8,"2021-08-01T16:22:00.000Z",982800,1072079,129,0,492.8155408451233,951.1339938310882,952
"f02775","china",9,"2020-09-01T04:00:30.000Z",20880,107279,30264,1210.1700514078977,80.57728729673019,2491.142363700111,2492
"f02775","china",10,"2020-10-01T22:15:00.000Z",107280,196559,744,1.4661987556393075,137.20951352585865,267.6441247032908,268
"f02775","china",11,"2020-11-08T07:35:00.000Z",196560,283079,20,0,133.01073791489,256.71072417573765,257
"f02775","china",12,"2020-12-01T18:48:00.000Z",283080,372359,64,0,137.25379890246617,264.89983188176006,265
"f02775","china",1,"2021-01-13T13:47:30.000Z",372360,461639,6,0,137.25379890246623,264.89983188175984,265
"f02775","china",2,"2021-02-01T18:35:00.000Z",461640,542279,96,0,123.97117320222732,239.2643642802994,240
"f02775","china",3,"2021-03-04T00:01:30.000Z",542280,631439,12,0,137.06931798996294,264.5437837206284,265
"f02775","china",4,"2021-04-08T00:35:00.000Z",631440,717839,17,0,132.82625700238668,256.3546760146063,257
"f02775","china",5,"2021-05-01T20:46:30.000Z",717840,807119,142,0,137.2537989024661,264.8998318817599,265
"f02775","china",6,"2021-06-01T09:16:30.000Z",807120,893519,12,0,132.82625700238668,256.35467601460635,257
"f02775","china",7,"2021-07-05T20:46:30.000Z",893520,982799,10,0,137.25379890246623,264.89983188175984,265
"f02775","china",8,"2021-08-03T10:46:30.000Z",982800,1072079,19,0,137.25379890246623,264.89983188175984,265
"f066596","sanDiego_california_usa",11,"2020-11-08T08:43:30.000Z",196560,283079,48,5.36066894122189,0.23807577477819136,10.805577301880149,11
"f066596","sanDiego_california_usa",12,"2020-12-01T09:13:30.000Z",283080,372359,123,21.40226871256678,1.5233339681320996,44.24641317374884,45
"f066596","sanDiego_california_usa",1,"2021-01-01T11:33:00.000Z",372360,461639,85,23.139771962359806,4.360788067611071,53.07608085784381,54
"f066596","sanDiego_california_usa",2,"2021-02-01T14:12:30.000Z",461640,542279,59,4.490955243651072,5.2437714495821615,18.78802251794015,19
"f066596","sanDiego_california_usa",3,"2021-03-01T14:43:00.000Z",542280,631439,58,5.860946731859967,6.325083272068359,23.519037907581666,24
"f066596","sanDiego_california_usa",4,"2021-04-02T15:16:30.000Z",631440,717839,73,0.14238675579699198,6.280118415313661,12.395434980243566,13
"f066596","sanDiego_california_usa",5,"2021-05-02T15:13:30.000Z",717840,807119,23,0.063496796504064,6.503271674715549,12.67386314945385,13
"f066596","sanDiego_california_usa",6,"2021-06-01T09:39:30.000Z",807120,893519,37,0,6.296528708563892,12.152300407528315,13
"f066596","sanDiego_california_usa",7,"2021-07-01T15:13:00.000Z",893520,982799,26,0.40791881390489604,6.522265509335422,13.375255743853813,14
"f066596","sanDiego_california_usa",8,"2021-08-01T15:18:00.000Z",982800,1072079,41,0.8639412615249925,6.600934960970103,14.407211109415535,15
"f0678914","sanDiego_california_usa",4,"2021-04-16T14:32:30.000Z",631440,717839,7,0.08851068603596798,0.0016603788656561359,0.17403015526013454,1
"f0678914","sanDiego_california_usa",5,"2021-05-01T14:32:30.000Z",717840,807119,13,0.165476499980288,0.02318926561929069,0.36412492760718684,1
"f0678914","sanDiego_california_usa",6,"2021-06-15T14:32:30.000Z",807120,893519,19,5.987940324868096,0.24098548610041381,12.021826815169222,13
"f0678914","sanDiego_california_usa",7,"2021-07-01T14:46:30.000Z",893520,982799,19,2.101166720679936,0.8717655652824831,5.7377593119074675,6
"f0678914","sanDiego_california_usa",8,"2021-08-03T14:33:30.000Z",982800,1072079,21,0.22320086043852794,0.9115502979732996,2.190069735734827,3
"f0688165","china",4,"2021-04-17T04:22:30.000Z",631440,717839,142,912.7953119261492,24.298821673707867,1808.5916778477244,1809
"f0688165","china",5,"2021-05-01T07:21:00.000Z",717840,807119,251,1345.6202632234256,170.08968656201966,2925.320203085914,2926
"f0688165","china",6,"2021-06-01T09:51:30.000Z",807120,893519,260,1534.109541573063,302.60980534616573,3544.8683395541193,3545
"f0688165","china",7,"2021-07-01T11:21:00.000Z",893520,982799,495,2715.846497164835,542.803916618471,6289.195298601822,6290
"f0688165","china",8,"2021-08-02T04:43:30.000Z",982800,1072079,164,862.5020008042337,725.7322540709804,3065.2921119091593,3066
"f0720636","antwerp_belgium",4,"2021-04-29T22:00:30.000Z",631440,717839,2,0.007696581394432,0.0001921479032910643,0.015225247544605514,1
"f0720636","antwerp_belgium",5,"2021-05-01T22:00:00.000Z",717840,807119,41,12.183688347385853,0.22699698978872618,23.952622700746947,24
"f0720636","antwerp_belgium",6,"2021-06-01T22:58:30.000Z",807120,893519,65,21.75053902066483,1.968260191563421,45.77728247960054,46
"f0720636","antwerp_belgium",7,"2021-07-01T22:40:00.000Z",893520,982799,73,46.82984949442152,6.012897747777763,101.98650217744459,102
"f0720636","antwerp_belgium",8,"2021-08-02T01:59:00.000Z",982800,1072079,62,35.58514407715635,10.694545675962258,89.31980122351891,90
"f0728347","newYork_newYork_usa",4,"2021-04-27T01:02:00.000Z",631440,717839,7,0.15777991858585597,0.0019383587697799985,0.3082562752963775,1
"f0728347","newYork_newYork_usa",5,"2021-06-01T03:59:30.000Z",717840,807119,0,0,0.016979373238675044,0.032770190350642846,1
"f0728347","newYork_newYork_usa",6,"2021-07-01T03:59:30.000Z",807120,893519,0,0,0.01643165152129843,0.03171308743610597,1
"f0728347","newYork_newYork_usa",7,"2021-08-01T03:59:30.000Z",893520,982799,0,0,0.016979373238675044,0.032770190350642846,1
"f0728347","newYork_newYork_usa",8,"2021-09-01T03:59:30.000Z",982800,1072079,0,0,0.016979373238675044,0.032770190350642846,1
"f0763337","sanDiego_california_usa",5,"2021-05-08T23:02:00.000Z",717840,807119,40,3.1863846972948475,0.09824055562894049,6.33932673814291,7
"f0763337","sanDiego_california_usa",6,"2021-06-01T22:42:30.000Z",807120,893519,64,14.858250381950974,1.1339120489332213,30.86487349160649,31
