"minerID","location_code","location","start","end","REC_purchase"
"f0845976","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-07-01","2021-10-01",1
"f0845976","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-10-01","2022-01-01",1
"f01376386","[""AS-KR""]","Asia - Korea","2021-10-01","2022-01-01",1
"f01060792","[""NA-US-SOUTH-XX""]","North America - USA - South - Others Combined","2021-04-01","2021-07-01",1
"f01060792","[""NA-US-SOUTH-XX""]","North America - USA - South - Others Combined","2021-07-01","2021-10-01",1
"f01445517","[""AS-CN-XX""]","Asia - Mainland China - Others Combined","2021-10-01","2022-01-01",1
"f01108749","[""NA-US-XX""]","North America - USA - Others Combined","2021-07-01","2021-10-01",1
"f091139","[""AS-KR""]","Asia - Korea","2020-06-01","2021-01-01",1
"f01176782","[""AS-CN-SOUTH-GD""]","Asia - Mainland China - South - Guangdong","2021-07-01","2021-10-01",1
"f023534","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2020-06-01","2021-01-01",8
"f023534","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-01-01","2021-04-01",5
"f023534","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-04-01","2021-07-01",6
"f023534","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-07-01","2021-10-01",8
"f023534","[""AS-CN-EAST-ZJ""]","Asia - Mainland China - East - Zhejiang","2021-10-01","2022-01-01",5
"f0524589","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f01068331","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-04-01","2021-07-01",1
"f01068331","[""AS-CN-EAST-FJ""]","Asia - Mainland China - East - Fujian","2021-07-01","2021-10-01",1
"f01260779","[""AS-CN-NORTH-HE""]","Asia - Mainland China - North - Hebei","2021-07-01","2021-10-01",1
"f073535","[""AS-KR""]","Asia - Korea","2020-06-01","2021-01-01",1
"f0755602","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",1
"f02500","[""AS-KR""]","Asia - Korea","2020-06-01","2021-01-01",1299
"f02500","[""AS-KR""]","Asia - Korea","2021-01-01","2021-04-01",833
"f02500","[""AS-KR""]","Asia - Korea","2021-04-01","2021-07-01",476
"f02500","[""AS-KR""]","Asia - Korea","2021-07-01","2021-10-01",481
"f02500","[""AS-KR""]","Asia - Korea","2021-10-01","2022-01-01",481
